Date,Open,High,Low,Close,Volume
05/22/2024,"18.50","19.05","18.40","18.90","16,527,699"
05/21/2024,"18.00","18.45","18.00","18.30","5,896,900"
05/20/2024,"17.50","18.15","17.50","17.95","5,743,900"
05/17/2024,"17.35","17.80","17.25","17.40","667,900"
05/16/2024,"17.30","17.35","17.00","17.25","526,000"
05/15/2024,"17.10","17.35","17.00","17.25","5,723,200"
05/14/2024,"17.50","17.75","17.05","17.35","2,381,100"
05/13/2024,"16.55","17.85","16.55","17.35","1,325,500"
05/09/2024,"16.50","17.40","16.00","16.50","2,783,300"
05/08/2024,"15.80","17.00","15.75","15.95","7,641,200"
05/07/2024,"15.80","15.85","15.50","15.65","5,009,400"
05/06/2024,"15.95","15.95","15.70","15.75","898,500"
05/03/2024,"16.00","16.00","15.85","15.95","1,483,800"
05/02/2024,"15.95","16.20","15.90","16.00","1,898,700"
04/30/2024,"16.00","16.00","15.75","15.95","616,000"
04/29/2024,"16.25","16.30","15.75","16.00","4,777,400"
04/26/2024,"16.50","16.50","16.20","16.30","1,809,200"
04/25/2024,"16.30","16.50","16.20","16.35","3,116,100"
04/24/2024,"16.25","16.80","16.20","16.35","912,400"
04/23/2024,"16.10","17.00","16.05","16.25","5,562,200"
04/22/2024,"16.00","16.30","16.00","16.10","426,400"
04/19/2024,"16.50","16.50","15.90","16.00","11,548,000"
04/18/2024,"16.80","16.90","16.30","16.35","1,278,400"
04/17/2024,"16.95","16.95","16.00","16.75","10,621,700"
04/16/2024,"17.45","17.50","16.90","16.95","941,100"
04/15/2024,"17.05","17.30","17.00","17.05","5,336,200"
04/12/2024,"16.50","17.20","16.50","16.95","3,761,800"
04/11/2024,"16.65","16.75","16.50","16.65","4,093,000"
04/09/2024,"17.00","17.00","16.30","16.65","8,563,600"
04/08/2024,"17.50","17.50","16.50","16.80","6,289,300"
04/05/2024,"17.70","18.05","17.00","17.55","5,390,900"
04/04/2024,"17.50","17.85","17.50","17.70","6,958,200"
04/03/2024,"17.50","18.00","17.50","18.00","16,829,500"
04/02/2024,"17.40","18.20","16.50","17.55","7,807,300"
03/28/2024,"19.00","19.50","17.40","17.75","13,614,000"
03/27/2024,"20.50","21.15","18.15","19.30","7,005,400"
03/26/2024,"18.30","19.35","18.00","19.25","5,313,500"
03/25/2024,"16.80","18.15","16.80","17.60","104,525,297"
03/22/2024,"16.75","17.20","16.30","16.75","20,780,000"
03/21/2024,"15.70","16.85","15.70","16.15","6,160,500"
03/20/2024,"14.90","15.85","14.90","15.40","5,257,500"
03/19/2024,"14.70","15.00","14.55","14.80","3,772,800"
03/18/2024,"15.00","15.40","14.30","14.60","9,307,800"
03/15/2024,"15.50","15.85","14.85","15.20","2,631,200"
03/14/2024,"14.70","15.20","14.60","15.00","42,418,699"
03/13/2024,"14.65","14.65","14.50","14.60","37,153,102"
