Date,Open,High,Low,Close,Volume
05/20/2022,"28.50","28.50","27.50","27.80","2,596,200"
05/19/2022,"29.45","29.45","27.50","28.05","3,844,600"
05/18/2022,"30.50","30.50","28.00","29.45","6,899,300"
05/17/2022,"30.30","30.55","30.10","30.45","5,200,100"
05/16/2022,"31.00","31.00","30.10","30.30","12,643,600"
05/13/2022,"31.80","31.80","30.00","30.20","2,640,500"
05/12/2022,"32.95","33.20","31.00","31.85","4,952,400"
05/11/2022,"32.50","33.00","32.30","32.40","9,180,000"
05/10/2022,"32.25","32.95","32.00","32.25","11,056,900"
05/09/2022,"32.00","32.50","32.00","32.20","22,141,100"
05/06/2022,"32.85","33.00","31.50","32.00","19,178,801"
05/05/2022,"33.40","33.45","32.00","32.95","382,700"
05/04/2022,"33.70","34.00","33.20","33.50","10,003,100"
04/28/2022,"33.90","33.90","33.50","33.70","3,389,800"
04/27/2022,"34.00","34.00","33.50","33.80","2,155,100"
04/26/2022,"34.00","34.00","33.25","33.85","3,325,700"
04/25/2022,"35.00","35.00","33.90","34.00","2,071,900"
04/22/2022,"34.50","35.00","34.00","34.20","2,441,600"
04/21/2022,"35.10","35.45","34.50","34.75","15,472,200"
04/20/2022,"35.00","35.50","35.00","35.05","2,113,100"
04/19/2022,"35.35","35.50","34.90","35.00","16,557,301"
04/14/2022,"35.50","35.90","35.00","35.30","942,000"
04/13/2022,"35.00","35.90","35.00","35.45","9,471,400"
04/12/2022,"34.20","35.05","34.00","34.70","16,427,400"
04/11/2022,"35.00","35.00","34.00","34.10","654,600"
04/08/2022,"35.10","35.10","34.70","35.00","1,899,000"
04/07/2022,"35.40","35.40","34.90","35.05","4,939,800"
04/06/2022,"35.40","35.50","34.90","35.10","2,546,600"
04/05/2022,"35.35","35.80","35.30","35.45","2,668,200"
04/04/2022,"34.95","36.00","34.85","35.35","3,006,000"
04/01/2022,"33.90","35.05","33.90","34.50","12,740,700"
03/31/2022,"34.75","34.85","33.50","34.15","6,621,600"
03/30/2022,"35.45","35.50","34.55","35.05","4,293,000"
03/29/2022,"35.40","35.50","35.20","35.40","1,759,300"
03/28/2022,"35.50","35.70","35.10","35.40","4,134,200"
03/25/2022,"35.95","36.05","35.50","35.95","1,192,700"
03/24/2022,"35.95","35.95","35.00","35.50","2,465,300"
03/23/2022,"36.15","36.15","35.60","35.95","5,695,100"
03/22/2022,"36.00","37.00","34.30","36.15","4,567,700"
03/21/2022,"34.95","35.95","34.95","35.50","2,363,700"
03/18/2022,"34.95","35.40","34.25","34.50","2,834,500"
03/17/2022,"35.25","35.50","34.50","34.95","7,984,300"
03/16/2022,"35.50","35.50","34.90","35.40","5,152,100"
03/15/2022,"35.60","36.80","35.30","35.65","3,006,700"
03/14/2022,"35.60","35.60","35.30","35.50","2,714,200"
03/11/2022,"35.20","36.00","35.20","35.50","1,807,600"
03/10/2022,"35.10","35.50","34.80","35.05","9,826,100"
03/09/2022,"36.05","36.05","34.90","35.10","5,545,700"
03/08/2022,"36.45","37.00","35.00","36.05","10,434,800"
03/07/2022,"37.40","37.50","36.25","36.70","1,753,300"
03/04/2022,"37.50","37.70","37.40","37.50","7,450,400"
03/03/2022,"37.35","37.75","37.00","37.50","5,712,100"
03/02/2022,"36.50","37.50","36.30","37.00","10,535,600"
03/01/2022,"35.70","36.80","35.70","36.15","1,549,700"
02/28/2022,"36.70","36.75","35.70","35.95","11,298,700"
02/25/2022,"35.10","36.50","35.05","35.65","10,821,100"
02/24/2022,"36.00","36.45","34.05","34.55","18,336,199"
02/23/2022,"37.80","37.80","35.65","36.60","2,530,300"
02/22/2022,"37.90","38.05","37.00","37.85","6,843,800"
02/21/2022,"37.95","38.00","37.90","37.95","1,566,100"
02/18/2022,"38.00","38.00","37.75","37.95","2,057,900"
02/17/2022,"38.00","38.10","37.70","37.95","6,805,600"
02/16/2022,"37.35","38.30","37.35","37.65","6,751,700"
02/15/2022,"38.00","38.50","37.00","37.35","11,463,100"
02/14/2022,"38.50","38.60","37.50","38.10","2,071,100"
02/11/2022,"38.50","38.70","38.05","38.50","413,900"
02/10/2022,"38.70","38.95","38.50","38.70","14,587,600"
02/09/2022,"38.60","38.80","38.05","38.30","5,454,100"
02/08/2022,"38.05","40.00","38.05","38.90","15,629,900"
02/07/2022,"38.00","38.50","37.90","38.05","2,911,600"
02/04/2022,"38.00","38.50","37.85","38.00","1,182,300"
02/03/2022,"37.80","38.20","37.80","37.80","20,020,301"
02/02/2022,"37.50","38.40","37.10","37.60","5,128,600"
02/01/2022,"37.00","38.00","36.80","37.50","1,874,300"
01/31/2022,"36.50","37.50","36.50","36.90","2,867,800"
01/28/2022,"35.85","37.45","35.80","36.20","11,041,100"
01/27/2022,"36.25","36.80","35.70","35.90","2,088,100"
01/26/2022,"36.50","36.60","35.55","35.95","7,084,400"
01/25/2022,"37.20","37.30","36.05","36.55","7,909,100"
01/24/2022,"37.65","37.65","37.00","37.30","3,478,500"
