Date,Open,High,Low,Close,Volume
05/23/2025,"19.90","20.00","19.85","19.90","1,495,300"
05/22/2025,"19.95","19.95","19.75","19.85","1,405,700"
05/21/2025,"20.00","20.00","19.75","19.85","1,476,100"
05/20/2025,"19.70","19.95","19.50","19.70","11,936,100"
05/19/2025,"20.10","20.10","19.50","19.95","4,439,900"
05/16/2025,"20.00","20.10","19.60","19.95","5,738,500"
05/15/2025,"19.60","20.25","19.50","19.90","23,840,500"
05/14/2025,"19.50","20.00","19.10","19.45","4,260,800"
05/13/2025,"18.60","19.45","18.60","19.05","25,392,000"
05/12/2025,"18.50","18.85","18.00","18.60","12,678,000"
05/09/2025,"19.00","19.10","18.20","18.50","9,924,400"
05/08/2025,"18.20","18.50","18.00","18.35","3,921,300"
05/07/2025,"18.40","18.40","18.10","18.30","6,342,200"
05/06/2025,"18.35","18.50","18.30","18.35","1,672,300"
05/05/2025,"18.10","18.50","18.00","18.25","7,979,500"
05/02/2025,"18.00","18.50","17.60","18.00","988,100"
04/30/2025,"17.50","18.00","17.50","17.55","4,243,100"
04/29/2025,"17.20","17.50","17.20","17.30","1,683,700"
04/28/2025,"17.25","17.30","17.00","17.10","522,300"
04/25/2025,"17.50","17.50","17.10","17.20","346,000"
04/24/2025,"17.75","17.75","17.20","17.35","4,813,100"
04/23/2025,"17.35","17.80","17.30","17.40","5,944,900"
04/22/2025,"17.50","17.50","17.20","17.30","14,326,500"
04/17/2025,"17.40","17.50","17.25","17.30","1,020,300"
04/16/2025,"17.55","17.55","17.30","17.35","4,796,300"
04/15/2025,"17.65","17.70","17.45","17.50","2,814,700"
04/14/2025,"17.90","17.90","17.55","17.70","3,468,300"
04/11/2025,"18.00","18.00","17.45","17.65","7,208,600"
04/10/2025,"17.50","17.80","17.25","17.55","8,715,000"
04/09/2025,"17.60","17.80","17.00","17.25","7,769,800"
04/08/2025,"18.00","18.00","17.50","17.60","5,458,400"
04/07/2025,"18.65","18.65","17.50","18.10","3,830,400"
04/04/2025,"18.65","18.85","18.55","18.65","4,802,800"
04/03/2025,"18.55","18.65","18.50","18.50","13,231,800"
04/02/2025,"18.60","18.85","18.40","18.55","3,392,600"
04/01/2025,"18.30","18.65","18.20","18.50","13,410,200"
03/28/2025,"18.15","18.45","18.00","18.30","9,457,500"
03/27/2025,"18.00","18.20","17.90","18.00","1,445,000"
03/26/2025,"17.90","18.10","17.80","17.90","7,378,100"
03/25/2025,"18.00","18.00","17.75","17.85","7,973,300"
03/24/2025,"17.65","17.80","17.65","17.75","1,825,700"
03/21/2025,"17.80","18.00","17.55","17.75","3,201,300"
03/20/2025,"17.60","17.80","17.45","17.55","355,700"
03/19/2025,"17.70","17.85","17.45","17.60","468,400"
03/18/2025,"17.75","17.90","17.50","17.70","12,208,600"
03/17/2025,"17.75","18.00","17.75","17.80","2,199,400"
