Date,Open,High,Low,Close,Volume
05/18/2020,"28.60","29.00","27.85","28.90","2,052,300"
05/15/2020,"27.20","28.50","27.05","27.65","13,420,000"
05/14/2020,"27.80","28.00","26.90","27.10","4,747,600"
05/13/2020,"28.50","28.50","27.50","27.80","10,501,800"
05/12/2020,"29.00","29.00","27.90","28.00","24,178,699"
05/11/2020,"29.00","29.00","28.00","28.30","7,687,100"
05/08/2020,"30.00","30.00","27.95","28.35","8,408,400"
05/07/2020,"30.45","30.45","28.50","28.90","6,657,900"
05/06/2020,"30.15","30.95","30.00","30.45","13,225,200"
05/05/2020,"29.70","30.40","29.50","29.95","8,285,100"
05/04/2020,"29.00","29.75","28.50","29.50","15,931,500"
04/30/2020,"29.00","29.00","27.85","28.50","9,712,700"
04/29/2020,"28.00","29.40","28.00","29.00","2,936,400"
04/28/2020,"28.00","28.00","27.60","27.70","5,842,300"
04/27/2020,"27.90","28.00","27.45","27.55","6,878,900"
04/24/2020,"28.50","28.50","27.20","27.55","9,768,500"
04/23/2020,"29.45","29.45","28.00","28.20","5,791,100"
04/22/2020,"28.00","29.50","27.55","27.95","10,969,800"
04/21/2020,"29.00","29.00","28.00","28.40","19,408,900"
04/20/2020,"28.50","28.75","28.00","28.50","7,590,700"
04/17/2020,"27.45","28.50","27.40","28.00","13,712,200"
04/16/2020,"27.80","27.80","27.00","27.40","2,906,700"
04/15/2020,"28.00","28.00","26.60","27.45","9,881,000"
04/14/2020,"26.35","28.00","26.30","27.05","10,513,800"
04/09/2020,"28.00","28.00","26.00","26.35","10,166,000"
04/08/2020,"26.80","26.80","26.00","26.20","13,279,600"
04/07/2020,"27.50","27.50","26.70","26.80","15,545,200"
04/06/2020,"28.45","28.50","26.90","27.55","14,371,000"
04/03/2020,"28.95","29.50","27.90","28.75","16,762,100"
04/02/2020,"26.95","29.00","26.95","28.25","9,152,600"
04/01/2020,"26.95","27.00","26.70","26.90","9,821,800"
03/31/2020,"27.50","27.50","26.05","26.45","16,084,600"
03/30/2020,"26.25","26.50","26.00","26.00","4,439,600"
03/27/2020,"25.00","26.25","25.00","25.35","14,913,700"
03/26/2020,"25.00","25.05","24.60","24.65","13,626,300"
03/25/2020,"24.50","24.80","24.00","24.50","9,737,200"
03/24/2020,"25.00","25.00","24.35","24.45","7,508,200"
03/23/2020,"25.50","25.50","24.00","24.60","14,714,000"
03/20/2020,"26.00","26.00","25.35","25.40","12,077,400"
03/19/2020,"25.80","26.00","25.35","25.40","13,759,300"
03/18/2020,"25.50","25.80","25.30","25.35","20,856,301"
03/17/2020,"24.55","26.50","24.55","25.10","11,561,900"
03/16/2020,"24.95","25.00","24.00","24.45","44,232,801"
03/13/2020,"26.05","26.50","23.50","24.35","29,945,801"
03/12/2020,"27.50","27.50","25.35","25.75","38,181,102"
03/11/2020,"27.80","28.50","27.70","27.85","12,535,900"
03/10/2020,"27.35","28.60","27.15","27.75","21,310,199"
03/09/2020,"29.50","29.50","26.55","27.35","28,108,801"
03/06/2020,"29.50","29.60","29.40","29.50","11,035,900"
03/05/2020,"29.45","29.85","29.00","29.55","545,600"
03/04/2020,"28.90","29.45","28.90","29.10","20,095,199"
03/03/2020,"28.50","29.00","28.50","28.85","24,017,699"
03/02/2020,"27.80","29.50","27.75","28.10","13,306,000"
02/28/2020,"28.00","28.20","27.75","27.90","13,289,800"
02/27/2020,"29.00","29.00","28.05","28.10","19,384,301"
02/26/2020,"29.35","29.50","27.95","28.20","5,608,400"
02/25/2020,"29.80","29.80","29.40","29.75","7,892,300"
02/24/2020,"29.95","30.00","29.00","29.90","4,927,000"
02/21/2020,"29.95","30.10","29.85","29.90","10,657,300"
02/20/2020,"30.00","30.20","29.90","29.95","14,572,700"
02/19/2020,"30.50","30.50","29.80","29.95","13,930,100"
02/18/2020,"31.00","31.00","30.00","30.50","3,515,900"
02/17/2020,"31.00","31.50","30.85","30.90","16,785,199"
02/14/2020,"31.50","31.50","30.75","31.00","16,785,199"
02/13/2020,"32.00","32.05","31.05","31.50","13,315,500"
02/12/2020,"32.70","32.70","31.75","32.50","12,104,100"
02/10/2020,"32.80","32.85","31.55","32.65","2,363,900"
02/07/2020,"33.00","33.00","32.80","32.90","18,309,100"
02/06/2020,"31.05","33.30","31.05","32.80","9,321,100"
02/05/2020,"31.25","32.10","31.00","31.55","3,136,700"
02/04/2020,"31.30","31.50","30.80","30.95","10,786,500"
02/03/2020,"30.50","31.00","30.30","30.80","1,097,900"
01/31/2020,"30.30","30.70","30.15","30.45","3,359,100"
01/30/2020,"30.70","30.80","30.05","30.60","4,690,800"
01/29/2020,"30.00","30.50","29.90","30.05","13,109,900"
01/28/2020,"30.50","30.50","29.75","29.95","1,572,800"
01/27/2020,"31.50","31.50","30.00","30.70","3,957,800"
01/24/2020,"32.00","32.00","31.20","31.30","7,263,900"
01/23/2020,"31.45","32.00","31.30","31.55","11,800,200"
01/22/2020,"31.55","31.75","31.30","31.50","8,157,000"
01/21/2020,"31.60","32.30","31.30","31.55","1,298,900"
01/20/2020,"32.00","32.30","31.20","31.55","2,710,900"
01/17/2020,"32.00","32.00","31.00","31.50","8,722,400"
01/16/2020,"32.00","32.30","31.50","32.00","12,749,500"
01/15/2020,"32.85","32.85","31.50","32.00","8,751,100"
01/14/2020,"32.00","32.85","32.00","32.75","5,840,900"
01/13/2020,"33.00","33.00","32.50","32.70","10,670,300"
01/10/2020,"32.80","33.40","32.50","32.80","4,937,700"
01/09/2020,"32.00","33.50","31.70","32.80","4,160,400"
01/08/2020,"31.20","32.50","31.20","31.85","3,474,800"
01/07/2020,"31.55","31.70","31.30","31.55","7,754,500"
01/06/2020,"31.70","31.70","31.05","31.50","1,901,800"
01/03/2020,"31.60","31.80","31.00","31.55","905,000"
01/02/2020,"31.60","31.60","31.00","31.30","349,300"
12/31/2019,"31.45","31.60","31.00","31.50","6,325,600"
12/30/2019,"31.50","31.50","30.00","31.35","5,297,600"
12/27/2019,"31.50","32.00","31.00","31.45","938,900"
12/24/2019,"31.50","32.00","30.30","31.70","3,069,600"
12/23/2019,"30.50","32.00","30.00","31.65","7,618,600"
12/20/2019,"30.60","31.50","30.60","31.30","36,521,699"
12/19/2019,"30.50","31.10","30.20","30.90","4,872,100"
12/18/2019,"30.00","30.50","29.55","30.20","5,334,700"
12/17/2019,"30.00","30.10","29.50","30.00","20,994,900"
12/16/2019,"30.25","30.30","29.80","30.05","4,849,500"
12/13/2019,"30.15","30.50","30.00","30.30","14,786,600"
12/11/2019,"30.10","30.60","30.00","30.25","3,516,300"
12/10/2019,"30.00","30.25","29.80","30.15","15,072,100"
12/09/2019,"29.75","30.25","29.60","30.10","8,824,300"
12/06/2019,"29.75","30.25","29.45","30.00","5,925,100"
12/05/2019,"29.50","30.00","29.40","29.45","13,172,100"
12/04/2019,"29.05","29.50","29.00","29.40","5,233,400"
12/03/2019,"29.45","29.75","29.15","29.50","5,820,700"
12/02/2019,"29.25","29.80","29.00","29.40","3,394,400"
11/29/2019,"29.00","29.95","29.00","29.25","14,903,000"
11/28/2019,"28.90","29.10","28.45","28.95","3,807,600"
11/27/2019,"28.75","29.00","28.70","28.90","4,305,900"
11/26/2019,"28.50","29.00","28.50","28.85","2,350,000"
11/25/2019,"28.10","29.00","28.00","28.90","3,344,500"
11/22/2019,"28.45","29.00","28.10","28.45","13,372,900"
11/21/2019,"28.95","28.95","28.25","28.50","10,719,600"
11/20/2019,"29.50","29.50","28.55","28.60","1,199,500"
11/19/2019,"28.70","29.00","28.25","28.55","2,837,400"
11/18/2019,"29.95","29.95","28.40","28.55","4,032,800"
11/15/2019,"29.95","29.95","28.60","28.75","7,555,600"
11/14/2019,"30.00","30.00","29.00","29.95","9,540,500"
11/13/2019,"29.00","30.00","28.70","29.30","2,181,600"
11/12/2019,"29.85","29.85","28.65","29.00","15,141,600"
11/11/2019,"29.85","29.85","28.00","29.40","3,247,300"
11/08/2019,"30.50","30.50","29.80","30.00","5,180,600"
11/07/2019,"30.95","31.50","30.80","31.20","10,563,700"
11/06/2019,"30.50","31.25","30.50","30.70","40,264,801"
11/05/2019,"30.50","30.55","30.40","30.50","6,699,600"
11/04/2019,"29.80","30.60","29.80","30.40","8,531,600"
11/01/2019,"29.80","30.95","29.80","30.30","7,080,600"
10/31/2019,"28.90","29.85","28.90","29.75","23,205,301"
10/30/2019,"28.85","29.60","28.85","29.25","22,245,100"
10/29/2019,"28.80","29.00","28.80","28.90","4,306,200"
10/28/2019,"28.80","28.95","28.80","28.85","2,595,300"
10/25/2019,"28.50","28.90","28.50","28.70","24,186,000"
10/24/2019,"28.40","28.75","28.40","28.60","3,019,500"
10/23/2019,"28.25","28.55","28.25","28.50","3,795,000"
10/22/2019,"28.45","28.55","27.80","28.45","16,056,000"
10/18/2019,"28.00","28.50","28.00","28.25","3,182,300"
10/17/2019,"27.90","28.50","27.85","28.45","5,111,400"
10/16/2019,"28.00","28.00","27.00","27.90","8,243,800"
10/15/2019,"28.00","28.30","27.70","27.90","502,000"
10/14/2019,"28.00","28.45","27.90","28.00","1,129,700"
10/11/2019,"29.00","29.00","28.20","28.45","4,501,800"
10/09/2019,"28.00","28.45","28.00","28.30","3,544,700"
10/08/2019,"28.00","28.35","28.00","28.20","1,733,300"
10/07/2019,"27.75","28.55","27.75","27.85","4,762,700"
10/04/2019,"28.05","28.50","27.80","28.05","9,273,300"
10/03/2019,"27.80","28.20","27.80","28.10","5,614,900"
10/02/2019,"27.55","28.00","27.50","27.65","8,347,100"
10/01/2019,"27.25","27.75","27.25","27.55","8,742,600"
09/30/2019,"27.20","28.00","27.20","27.50","1,392,200"
09/27/2019,"27.15","27.40","27.10","27.10","6,838,100"
09/26/2019,"27.50","27.50","27.00","27.15","2,459,600"
09/25/2019,"28.00","28.00","27.40","27.55","30,531,000"
09/24/2019,"27.50","27.75","27.35","27.50","4,280,400"
09/23/2019,"27.50","27.60","27.40","27.50","1,195,000"
