Date,Open,High,Low,Close,Volume
05/17/2019,"26.20","26.60","26.05","26.15","12,300,000"
05/16/2019,"26.70","26.70","26.05","26.25","6,430,300"
05/15/2019,"27.20","27.20","26.35","26.70","9,707,700"
05/14/2019,"27.20","27.20","26.10","26.40","8,458,600"
05/13/2019,"28.00","28.00","27.00","27.20","8,460,600"
05/10/2019,"27.90","27.90","27.20","27.45","3,582,300"
05/09/2019,"28.30","28.30","27.80","27.95","5,293,700"
05/08/2019,"29.00","29.00","28.00","28.15","3,401,200"
05/07/2019,"29.50","29.50","28.20","28.60","4,354,900"
05/06/2019,"29.00","29.00","28.50","28.65","2,746,400"
05/03/2019,"29.80","30.00","28.35","29.25","4,963,400"
05/02/2019,"28.25","30.00","28.25","29.55","7,890,300"
04/30/2019,"28.20","28.60","28.10","28.15","2,694,500"
04/29/2019,"28.50","28.50","27.85","28.00","3,263,500"
04/26/2019,"27.85","28.00","27.85","27.95","2,881,500"
04/25/2019,"28.00","28.10","27.90","27.95","14,337,500"
04/24/2019,"27.85","28.10","27.85","28.00","8,046,000"
04/23/2019,"28.00","28.00","27.65","27.95","4,287,700"
04/18/2019,"27.80","28.00","27.65","27.85","1,773,800"
04/17/2019,"27.60","28.00","27.60","27.85","2,210,700"
04/16/2019,"27.30","27.75","27.30","27.50","7,255,600"
04/15/2019,"27.20","27.50","27.05","27.30","1,273,300"
04/12/2019,"27.75","27.75","27.05","27.50","6,692,400"
04/11/2019,"27.80","27.80","27.60","27.70","3,305,000"
04/10/2019,"27.90","28.00","27.65","27.75","10,065,600"
04/09/2019,"28.00","28.00","27.60","27.85","10,031,100"
04/08/2019,"27.85","28.00","27.65","28.00","15,722,000"
04/05/2019,"28.00","28.10","27.65","28.00","11,067,300"
04/04/2019,"28.15","28.20","28.00","28.05","3,202,600"
04/03/2019,"28.00","28.20","28.00","28.10","2,479,600"
04/02/2019,"28.00","28.50","28.00","28.10","12,059,300"
04/01/2019,"28.00","28.10","27.60","27.90","8,473,300"
03/29/2019,"27.00","27.70","27.00","27.55","5,203,900"
03/28/2019,"27.00","27.25","27.00","27.10","1,941,600"
03/27/2019,"27.50","27.75","26.95","27.25","8,522,900"
03/26/2019,"27.95","27.95","27.20","27.60","17,525,699"
03/25/2019,"28.15","28.20","27.50","27.95","22,976,100"
