Date,Open,High,Low,Close,Volume
05/13/2016,"17.25","17.45","17.25","17.30","746,600"
05/12/2016,"17.10","17.45","17.10","17.25","1,176,200"
05/11/2016,"17.05","17.20","17.00","17.10","4,498,200"
05/10/2016,"16.95","17.00","16.90","16.95","2,341,900"
05/09/2016,"16.90","16.95","16.60","16.90","7,534,800"
05/06/2016,"16.85","17.10","16.75","16.90","1,403,700"
05/05/2016,"16.80","17.00","16.80","16.90","11,777,600"
05/04/2016,"16.90","17.00","16.80","16.90","8,721,500"
05/03/2016,"16.95","17.10","16.90","16.95","2,308,700"
04/29/2016,"17.10","17.15","17.00","17.10","6,725,500"
04/28/2016,"16.95","17.15","16.90","17.10","9,968,300"
04/27/2016,"16.95","17.10","16.85","16.95","8,110,000"
04/26/2016,"16.90","17.00","16.85","16.95","10,654,300"
04/25/2016,"16.85","17.00","16.85","16.95","1,060,100"
04/22/2016,"17.40","17.40","16.90","17.10","12,299,000"
04/21/2016,"17.85","17.85","17.25","17.40","8,764,400"
04/20/2016,"17.30","17.85","17.25","17.45","5,160,900"
04/19/2016,"17.20","17.35","17.20","17.30","21,152,699"
04/18/2016,"17.10","17.30","17.10","17.20","12,911,100"
04/15/2016,"16.80","17.30","16.80","17.10","10,770,600"
04/14/2016,"16.80","17.10","16.75","16.95","3,632,100"
04/13/2016,"16.70","16.80","16.70","16.75","4,066,600"
04/12/2016,"16.75","16.75","16.65","16.70","1,586,500"
04/11/2016,"16.75","16.80","16.65","16.70","1,693,900"
04/08/2016,"16.70","16.80","16.70","16.75","7,684,400"
04/07/2016,"16.80","16.80","16.75","16.75","4,110,600"
04/06/2016,"16.90","16.90","16.75","16.75","2,605,400"
04/05/2016,"16.75","16.80","16.75","16.80","18,096,600"
04/04/2016,"16.85","16.90","16.70","16.80","3,353,500"
04/01/2016,"16.70","17.00","16.70","16.85","6,052,700"
03/31/2016,"16.70","17.00","16.60","16.90","6,770,000"
03/30/2016,"16.80","16.85","16.70","16.70","6,557,900"
03/29/2016,"16.90","16.90","16.70","16.80","5,456,600"
03/24/2016,"16.75","17.00","16.75","16.90","7,877,100"
03/23/2016,"16.70","17.00","16.65","16.85","5,344,800"
03/22/2016,"16.50","17.00","16.40","16.75","16,109,900"
03/21/2016,"16.45","16.50","16.30","16.45","8,253,200"
03/18/2016,"16.50","16.60","16.40","16.50","12,994,100"
03/17/2016,"16.30","16.60","16.30","16.50","22,243,801"
03/16/2016,"16.45","16.60","16.30","16.40","15,038,700"
03/15/2016,"16.30","16.50","16.30","16.35","8,400,000"
03/14/2016,"16.35","16.55","16.30","16.45","12,455,600"
03/11/2016,"16.25","16.40","16.20","16.30","10,029,700"
03/10/2016,"16.40","16.45","16.15","16.25","14,684,200"
03/09/2016,"16.50","16.50","16.35","16.45","5,775,400"
03/08/2016,"16.60","16.70","16.40","16.50","14,868,600"
03/07/2016,"16.90","17.05","16.20","17.00","13,544,500"
03/04/2016,"16.50","17.05","16.30","17.00","4,949,400"
03/03/2016,"16.70","17.25","16.20","16.90","26,787,699"
03/02/2016,"16.15","16.65","16.15","16.55","12,237,200"
03/01/2016,"16.20","16.30","16.10","16.15","4,318,000"
02/29/2016,"16.20","16.50","16.05","16.20","1,834,100"
02/26/2016,"16.10","16.45","16.00","16.10","1,510,400"
02/25/2016,"16.05","16.20","16.00","16.05","2,715,800"
02/24/2016,"15.75","16.15","15.75","16.00","9,875,200"
02/23/2016,"15.70","16.00","15.65","15.95","1,552,200"
02/22/2016,"15.65","15.90","15.60","15.70","492,300"
02/19/2016,"15.60","16.00","15.60","15.85","349,100"
02/18/2016,"15.55","15.85","15.50","15.60","16,442,801"
02/17/2016,"15.60","15.65","15.50","15.55","4,394,300"
02/16/2016,"15.80","15.85","15.50","15.70","10,656,800"
02/15/2016,"15.80","15.95","15.70","15.75","491,400"
02/12/2016,"15.70","15.95","15.65","15.80","10,362,800"
02/11/2016,"16.00","16.00","15.55","15.65","9,005,900"
02/10/2016,"16.00","16.00","15.55","15.75","3,232,600"
02/09/2016,"16.10","16.10","15.60","16.00","13,414,300"
02/08/2016,"16.00","16.20","15.90","16.15","1,790,400"
02/05/2016,"16.25","16.50","16.00","16.20","9,178,500"
02/04/2016,"16.40","16.50","15.65","16.25","11,745,700"
02/03/2016,"16.00","17.00","15.70","16.70","9,287,300"
02/02/2016,"15.55","16.50","15.50","16.00","7,257,700"
02/01/2016,"15.10","16.10","15.10","15.55","4,747,700"
01/29/2016,"15.20","15.30","15.15","15.15","2,959,200"
01/28/2016,"15.15","15.25","15.10","15.15","3,593,600"
01/27/2016,"15.30","15.30","15.10","15.15","4,885,900"
01/26/2016,"15.25","15.35","15.25","15.25","11,483,800"
01/25/2016,"15.10","15.40","15.05","15.25","4,810,600"
01/22/2016,"15.40","15.40","15.00","15.10","5,483,700"
01/21/2016,"15.60","15.75","15.00","15.25","2,931,500"
01/20/2016,"16.00","16.00","15.45","15.75","7,618,500"
01/19/2016,"16.10","16.20","15.90","16.10","22,757,900"
01/18/2016,"16.10","16.20","16.10","16.10","1,238,500"
01/15/2016,"16.00","16.15","16.00","16.10","3,320,800"
