Date,Open,High,Low,Close,Volume
05/19/2021,"38.30","39.00","37.80","38.05","20,924,500"
05/18/2021,"39.00","39.00","38.10","38.35","7,811,900"
05/17/2021,"39.40","39.50","38.65","39.00","24,876,500"
05/13/2021,"39.90","39.90","39.00","39.40","2,321,100"
05/12/2021,"40.05","40.55","39.60","40.10","5,833,200"
05/11/2021,"40.80","40.95","40.00","40.60","12,185,800"
05/10/2021,"40.65","41.25","40.65","40.85","3,927,500"
05/07/2021,"40.70","40.90","40.65","40.80","15,341,400"
05/06/2021,"40.50","40.85","40.30","40.65","10,568,600"
05/05/2021,"40.55","40.75","40.45","40.50","4,582,700"
05/04/2021,"40.55","41.00","40.45","40.75","9,132,400"
05/03/2021,"40.50","41.00","40.30","40.50","3,331,500"
04/30/2021,"40.25","40.65","40.00","40.35","10,465,400"
04/29/2021,"40.50","41.00","40.00","40.35","10,140,200"
04/28/2021,"39.00","40.20","39.00","39.90","11,071,200"
04/27/2021,"39.00","39.60","39.00","39.35","10,080,800"
04/26/2021,"38.50","39.20","38.40","39.00","6,809,000"
04/23/2021,"39.10","39.10","38.00","38.80","2,854,800"
04/22/2021,"38.80","39.25","38.80","39.10","2,293,400"
04/21/2021,"38.60","39.25","38.50","39.00","9,418,500"
04/20/2021,"38.20","38.90","38.00","38.40","5,128,500"
04/19/2021,"38.00","38.40","37.80","38.00","2,238,300"
04/16/2021,"38.15","38.55","38.15","38.40","5,569,200"
04/15/2021,"37.35","38.45","37.35","38.15","7,139,700"
04/14/2021,"37.00","37.50","36.70","37.10","7,655,200"
04/13/2021,"36.50","37.00","36.50","36.65","8,410,100"
04/12/2021,"36.30","37.00","36.30","36.55","3,348,200"
04/09/2021,"36.25","36.40","36.00","36.30","8,004,600"
04/08/2021,"36.25","36.70","36.00","36.15","10,535,500"
04/07/2021,"36.95","37.00","36.50","36.80","17,077,301"
04/06/2021,"37.05","37.05","36.40","36.75","2,456,300"
04/01/2021,"36.50","37.30","36.15","37.05","7,286,500"
03/31/2021,"37.25","37.25","35.80","36.25","14,718,400"
03/30/2021,"37.70","38.00","36.95","37.35","16,954,900"
03/29/2021,"38.00","38.45","37.40","37.60","8,527,800"
03/26/2021,"38.50","39.00","38.50","38.75","3,904,500"
03/25/2021,"39.50","39.95","38.90","39.50","2,262,900"
03/24/2021,"39.75","39.75","39.00","39.45","8,307,800"
03/23/2021,"39.05","39.50","39.05","39.45","8,991,700"
03/22/2021,"38.70","39.25","38.50","38.90","7,901,600"
03/19/2021,"38.25","39.00","38.20","38.60","3,192,500"
03/18/2021,"37.65","38.40","37.60","38.10","1,857,800"
